Title,Genre,Actors,Recom
The Avengers,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner, Mark Ruffalo, Chris Hemsworth, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko, Jerzy Skolimowski, Kirill Nikiforov, Jeff Wolfe","Avengers: Age of Ultron, Captain America: Civil War, Captain America: The Winter Soldier, Iron Man, Iron Man Three, Avengers: Infinity War, Captain America: The First Avenger, Iron Man 2, Guardians of the Galaxy, Thor, Avengers: Endgame, Doctor Strange"
Avengers: Age of Ultron,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Linda Cardellini, Stellan Skarsgård","The Avengers, Captain America: Civil War, Captain America: The Winter Soldier, Ant-Man, Iron Man Three, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy, Iron Man, Captain America: The First Avenger, Avengers: Infinity War, Doctor Strange, Iron Man 2"
Captain America: Civil War,"Action, Adventure, Sci-Fi","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland, Daniel Brühl, Frank Grillo, William Hurt, Martin Freeman, Marisa Tomei","Captain America: The Winter Soldier, Avengers: Age of Ultron, The Avengers, Captain America: The First Avenger, Doctor Strange, Ant-Man, Iron Man, Guardians of the Galaxy Vol. 2, Thor: Ragnarok, Iron Man Three, Black Panther, Guardians of the Galaxy"
Captain America: The First Avenger,"Action, Adventure, Sci-Fi","Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell, Sebastian Stan, Tommy Lee Jones, Dominic Cooper, Richard Armitage, Stanley Tucci, Toby Jones, Neal McDonough, Derek Luke, Kenneth Choi, JJ Feild, Bruno Ricci, Lex Shrapnel, Michael Brandon, Martin Sherman","Captain America: The Winter Soldier, Iron Man 2, Iron Man, Captain America: Civil War, Iron Man Three, The Avengers, Thor, Avengers: Age of Ultron, Ant-Man, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy, Thor: The Dark World"
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo, Maximiliano Hernández, Emily VanCamp, Hayley Atwell, Toby Jones, Stan Lee, Callan Mulvey, Jenny Agutter, Bernard White, Alan Dale, Chin Han","Captain America: Civil War, Captain America: The First Avenger, Avengers: Age of Ultron, The Avengers, Iron Man Three, Iron Man, Guardians of the Galaxy, Ant-Man, Iron Man 2, Guardians of the Galaxy Vol. 2, Thor, Doctor Strange"
Guardians of the Galaxy,"Action, Adventure, Comedy","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana, Dave Bautista, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly, Glenn Close, Benicio Del Toro, Laura Haddock, Sean Gunn, Peter Serafinowicz, Christopher Fairbank, Krystian Godlewski, Wyatt Oleff","Guardians of the Galaxy Vol. 2, Captain America: The Winter Soldier, The Avengers, Avengers: Age of Ultron, Captain America: Civil War, Iron Man, Ant-Man, Iron Man Three, Black Panther, Doctor Strange, Captain America: The First Avenger, Thor: Ragnarok"
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Pom Klementieff, Sylvester Stallone, Kurt Russell, Elizabeth Debicki, Chris Sullivan, Sean Gunn, Tommy Flanagan, Laura Haddock, Aaron Schwartz, Hannah Harlow, Hilty Bowen","Guardians of the Galaxy, Avengers: Age of Ultron, Captain America: Civil War, Ant-Man, Captain America: The Winter Soldier, Doctor Strange, The Avengers, Iron Man, Iron Man Three, Ant-Man and the Wasp, Black Panther, Captain America: The First Avenger"
Ant-Man,"Action, Adventure, Comedy","Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly, Bobby Cannavale, Anthony Mackie, Judy Greer, Abby Ryder Fortson, Michael Peña, David Dastmalchian, T.I., Wood Harris, Hayley Atwell, John Slattery, Martin Donovan, Garrett Morris, Gregg Turkington, Rod Hallett","Ant-Man and the Wasp, Avengers: Age of Ultron, Captain America: Civil War, Guardians of the Galaxy Vol. 2, Captain America: The Winter Soldier, Iron Man Three, Captain America: The First Avenger, Iron Man 2, Doctor Strange, Iron Man, The Avengers, Guardians of the Galaxy"
Ant-Man and the Wasp,"Action, Adventure, Comedy","Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, T.I., David Dastmalchian, Hannah John-Kamen, Abby Ryder Fortson, Randall Park, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas, Divian Ladwa, Goran Kostic, Rob Archer, Sean Kleier","Ant-Man, Guardians of the Galaxy Vol. 2, Captain Marvel, Doctor Strange, Captain America: Civil War, Captain America: The Winter Soldier, Avengers: Age of Ultron, Iron Man Three, Black Panther, Iron Man 2, Spider-Man: Homecoming, Captain America: The First Avenger"
Captain Marvel,"Action, Adventure, Sci-Fi","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Clark Gregg, Rune Temte, Algenis Perez Soto, Mckenna Grace, Akira Akbar, Matthew Maher, Chuku Modu, Vik Sahay, Colin Ford","Ant-Man and the Wasp, Captain America: The First Avenger, Captain America: The Winter Soldier, Iron Man 2, Iron Man, Ant-Man, Captain America: Civil War, Avengers: Age of Ultron, Iron Man Three, The Avengers, Spider-Man: Far from Home, Doctor Strange"
Spider-Man: Far from Home,"Action, Adventure, Sci-Fi","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, J.B. Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar, Zach Barack, Zoha Rahman, Yasmin Mwanza","Spider-Man: Homecoming, Captain America: Civil War, Doctor Strange, Ant-Man and the Wasp, Avengers: Age of Ultron, Ant-Man, Guardians of the Galaxy Vol. 2, Iron Man, Captain America: The Winter Soldier, The Avengers, Iron Man Three, Captain America: The First Avenger"
Spider-Man: Homecoming,"Action, Adventure, Sci-Fi","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Abraham Attah, Hannibal Buress, Kenneth Choi, Selenis Leyva, Angourie Rice","Spider-Man: Far from Home, Captain America: Civil War, Doctor Strange, Guardians of the Galaxy Vol. 2, Avengers: Age of Ultron, Ant-Man, Iron Man, The Avengers, Captain America: The Winter Soldier, Ant-Man and the Wasp, Iron Man Three, Iron Man 2"
Doctor Strange,"Action, Adventure, Fantasy","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker","Captain America: Civil War, Avengers: Age of Ultron, Guardians of the Galaxy Vol. 2, Captain America: The Winter Soldier, Ant-Man, The Avengers, Thor: Ragnarok, Spider-Man: Homecoming, Ant-Man and the Wasp, Black Panther, Guardians of the Galaxy, Iron Man"
Black Panther,"Action, Adventure, Sci-Fi","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Nabiyah Be, Isaach De Bankolé, Connie Chiume","Captain America: Civil War, Thor: Ragnarok, Captain America: The Winter Soldier, Avengers: Age of Ultron, Doctor Strange, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy, The Avengers, Ant-Man and the Wasp, Ant-Man, Avengers: Infinity War, Iron Man"
Avengers: Infinity War,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldana, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Idris Elba, Danai Gurira","Avengers: Endgame, The Avengers, Avengers: Age of Ultron, Thor: Ragnarok, Captain America: Civil War, Captain America: The Winter Soldier, Black Panther, Doctor Strange, Guardians of the Galaxy, Guardians of the Galaxy Vol. 2, Spider-Man: Homecoming, Iron Man"
Dahmer - Monster: The Jeffrey Dahmer Story,"Biography, Crime, Drama","Evan Peters, Richard Jenkins, Molly Ringwald, Niecy Nash, Michael Beach, Colby French, Michael Learned, Karen Malina White, Khetphet Phagnasay, Phet Mahathongdy, Brayden Maniago, Scott Paophavihanh, Somlit Inthalangsy, Dyllon Burnside, Nikea Gamby-Turner, David Barrera, Rodney Burford, Shaun J. Brown","Conversations with a Killer: The Jeffrey Dahmer Tapes, American Horror Story, Stranger Things, Conversations with a Killer: The John Wayne Gacy Tapes, House of the Dragon, Breaking Bad, Game of Thrones, Lou, You, The Walking Dead, My Friend Dahmer, The Handmaid's Tale"
Stranger Things,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, Caleb McLaughlin, Charlie Heaton, David Harbour, Gaten Matarazzo, Natalia Dyer, Joe Keery, Noah Schnapp, Cara Buono, Priah Ferguson, Paul Reiser, Sadie Sink, Brett Gelman, Maya Hawke, Matthew Modine, Joe Chrest","The Boys, Breaking Bad, Game of Thrones, Better Call Saul, Rick and Morty, Peaky Blinders, The Walking Dead, Black Mirror, The Office, The Mandalorian, Cobra Kai, Friends"
The Boys,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Jessie T. Usher, Laz Alonso, Chace Crawford, Tomer Capone, Karen Fukuhara, Nathan Mitchell, Dominique McElligott, Colby Minifie, Claudia Doumit, Nneka Elliott, Laila Robins, Aya Cash, Katy Breier, Elisabeth Shue","Stranger Things, Breaking Bad, Rick and Morty, Game of Thrones, Better Call Saul, Invincible, Peaky Blinders, The Mandalorian, The Terminal List, The Office, Black Bird, The Walking Dead"
Breaking Bad,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, RJ Mitte, Dean Norris, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito, Charles Baker, Jesse Plemons, Christopher Cousins, Laura Fraser, Matt Jones, Michael Shamus Wiles, Lavell Crawford, Ray Campbell","Better Call Saul, Game of Thrones, Stranger Things, El Camino: A Breaking Bad Movie, Chernobyl, Peaky Blinders, Rick and Morty, The Boys, The Walking Dead, The Office, The Sopranos, Black Mirror"
The Walking Dead,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan, Christian Serratos, Josh McDermitt, Danai Gurira, Seth Gilliam, Ross Marquand, Chandler Riggs, Jeffrey Dean Morgan, Alanna Masterson, Khary Payton, Steven Yeun, Cooper Andrews, Sonequa Martin-Green, Eleanor Matsuura, Callan McAuliffe","Breaking Bad, Game of Thrones, Stranger Things, Peaky Blinders, Fear the Walking Dead, The Boys, Rick and Morty, American Horror Story, The Handmaid's Tale, Better Call Saul, Vikings, The Office"
Peaky Blinders,"Crime, Drama","Cillian Murphy, Paul Anderson, Sophie Rundle, Helen McCrory, Ned Dennehy, Finn Cole, Natasha O'Keeffe, Ian Peck, Harry Kirton, Packy Lee, Joe Cole, Annabelle Wallis, Kate Phillips, Aimee-Ffion Edwards, Tony Pitts, Benjamin Zephaniah, Tom Hardy, Jordan Bolger","Breaking Bad, Game of Thrones, Stranger Things, Vikings, Chernobyl, Narcos, The Queen's Gambit, The Boys, Peaky Blinders, The Walking Dead, Better Call Saul, Sherlock"
Vikings,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst, Alex Høgh Andersen, Jordan Patrick Smith, Marco Ilsø, Peter Franzén, Travis Fimmel, Clive Standen, John Kavanagh, Jennie Jacques, Maude Hirst, Moe Dunford, Alyssa Sutherland, Linus Roache, George Blagden, Adam Copeland","Peaky Blinders, The Witcher, Vikings: Valhalla, Game of Thrones, Vikings: The Viking Sagas, Vikings Season 3: Heavy Is the Head -The Politics of King Ragnar's Rule, The Last Kingdom, Breaking Bad, Prison Break, The Walking Dead, Stranger Things, Narcos"
The Witcher,"Action, Adventure, Drama","Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni, Eamon Farren, MyAnna Buring, Wilson Mbomio, Anna Shaffer, Joey Batey, Royce Pierreson, Tom Canton, Lars Mikkelsen, Mecia Simson, Adam Levy, Kim Bodnia, Paul Bullion, Yasen Atour, Nathanial Jacobs","Vikings, The Mandalorian, Shadow and Bone, Peaky Blinders, Stranger Things, Game of Thrones, The Witcher: Blood Origin, Loki, The Umbrella Academy, The Witcher: Nightmare of the Wolf, The Boys, Lucifer"
The Mandalorian,"Action, Adventure, Fantasy","Pedro Pascal, Carl Weathers, Giancarlo Esposito, Barry Lowin, Gina Carano, Chris Bartlett, Leilani Shiu, Misty Rosas, Omid Abtahi, Temuera Morrison, Ming-Na Wen, Katy M. O'Brian, Rio Hackford, Amy Sedaris, Emily Swallow, Nick Nolte, Werner Herzog, Taika Waititi","The Book of Boba Fett, Obi-Wan Kenobi, Rogue One, Star Wars: The Clone Wars, Stranger Things, The Boys, Loki, Star Wars: The Bad Batch, Star Wars, Star Wars: Episode III - Revenge of the Sith, Solo: A Star Wars Story, Star Wars: Episode V - The Empire Strikes Back"
Obi-Wan Kenobi,"Action, Adventure, Sci-Fi","Ewan McGregor, Moses Ingram, Vivien Lyra Blair, Hayden Christensen, Sung Kang, Rupert Friend, James Earl Jones, Jonathan Ho, Oliver Ho, Kumail Nanjiani, O'Shea Jackson Jr., Indira Varma, Marisé Álvarez, Maya Erskine, Rya Kihlstedt, Jimmy Smits, Indie DesRoches, Aiden Arnold","The Book of Boba Fett, The Mandalorian, Kenobi: A Star Wars Fan Film, Moon Knight, Rogue One, Doctor Strange in the Multiverse of Madness, Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes, Star Wars: The Bad Batch, Star Wars: Episode III - Revenge of the Sith, Star Wars: The Clone Wars, Solo: A Star Wars Story, Obi-Wan Kenobi: A Jedi's Return"
The Book of Boba Fett,"Action, Adventure, Sci-Fi","Temuera Morrison, Ming-Na Wen, Frank Trigg, Collin Hymes, Leilani Shiu, Matt Berry, David Pasquesi, Carey Jones, Jennifer Beals, Robert Rodriguez, Marlon Aquino, Andrea Bartlow, Pedro Pascal, Sophie Thatcher, Jordan Bolger, Barry Lowin, Joanna Bennett, Wesley Kimmel","The Mandalorian, Obi-Wan Kenobi, Star Wars: The Bad Batch, Star Wars: The Clone Wars, Loki, Solo: A Star Wars Story, Moon Knight, Rogue One, Star Wars: Episode III - Revenge of the Sith, Hawkeye, Boba Fett, Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes"
Star Wars: The Bad Batch,"Animation, Action, Adventure","Ming-Na Wen, Dee Bradley Baker, Michelle Ang, Noshir Dalal, Liam O'Brien, Rhea Perlman, Sam Riegel, Bob Bergen, Gwendoline Yeo, Ben Diskin, Corey Burton, Matthew Wood, Tina Huang, Ness Bautista, Daheli Hall, Stephen Stanton, Robin Atkin Downes, Ferelith Young","Star Wars: The Clone Wars, The Book of Boba Fett, Star Wars: Visions, Solo: A Star Wars Story, The Mandalorian, Kenobi: A Star Wars Fan Film, Obi-Wan Kenobi, Star Wars: Episode III - Revenge of the Sith, Rogue One, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode I - The Phantom Menace, Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes"
Star Wars: The Clone Wars,"Animation, Action, Adventure","Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor, Ashley Eckstein, Matthew Wood, Corey Burton, Terrence 'T.C.' Carson, Catherine Taber, Stephen Stanton, Ian Abercrombie, Nika Futterman, Phil LaMarr, Anna Graves, David Acord, Sam Witwer, Brian George, Anthony Daniels","Star Wars: The Bad Batch, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode I - The Phantom Menace, Solo: A Star Wars Story, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode VII - The Force Awakens, Rogue One, Star Wars, The Mandalorian, The Book of Boba Fett, Star Wars: Episode V - The Empire Strikes Back"
Bullet Train,"Action, Comedy, Thriller","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Sandra Bullock, Bad Bunny, Logan Lerman, Zazie Beetz, Masi Oka, Karen Fukuhara, Kevin Akiyoshi Ching, Minchi Murakami, Kaori Taketani, Toshitaka Katsumi, Jim Garrity","Top Gun: Maverick, Nope, Prey, Thor: Love and Thunder, Lou, Avatar, Fall, The Greatest Beer Run Ever, The Black Phone, Elvis, Bodies Bodies Bodies, Everything Everywhere All at Once"
Nope,"Horror, Mystery, Sci-Fi","Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott, Steven Yeun, Wrenn Schmidt, Keith David, Devon Graye, Terry Notary, Barbie Ferreira, Donna Mills, Oz Perkins, Eddie Jemison, Jacob Kim, Sophia Coto, Jennifer Lafleur, Andrew Patrick Ralston, Lincoln Lambert","The Black Phone, Us, Get Out, Everything Everywhere All at Once, Top Gun: Maverick, Bullet Train, Prey, X, Thor: Love and Thunder, Bodies Bodies Bodies, Fall, Midsommar"
Everything Everywhere All at Once,"Action, Adventure, Comedy","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan, James Hong, Tallie Medel, Jenny Slate, Harry Shum Jr., Randy Newman, Biff Wiff, Sunita Mani, Aaron Lazar, Brian Le, Andy Le, Narayana Cabral, Chelsey Goldsmith, Craig Henningsen, Anthony Molinari","Nope, The Batman, Spider-Man: No Way Home, Doctor Strange in the Multiverse of Madness, The Northman, Top Gun: Maverick, The Black Phone, Avatar, Swiss Army Man, Elvis, The Death of Dick Long, The Unbearable Weight of Massive Talent"
The Batman,"Action, Crime, Drama","Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano, John Turturro, Andy Serkis, Peter Sarsgaard, Barry Keoghan, Jayme Lawson, Gil Perez-Abraham, Peter McDonald, Con O'Neill, Alex Ferns, Rupert Penry-Jones, Kosha Engler, Archie Barnes, Janine Harouni","Spider-Man: No Way Home, Doctor Strange in the Multiverse of Madness, The Dark Knight, Joker, Batman Begins, Avengers: Endgame, The Dark Knight Rises, Avengers: Infinity War, The Batman 2, Thor: Ragnarok, Interstellar, Black Panther"
Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Rachel McAdams, Jett Klyne, Julian Hilliard, Michael Stuhlbarg, Hayley Atwell, Anson Mount, Lashana Lynch, John Krasinski, Patrick Stewart, Charlize Theron, Sheila Atim, Adam Hugill, Bruce Campbell","Spider-Man: No Way Home, Doctor Strange, Thor: Love and Thunder, The Batman, Thor: Ragnarok, Moon Knight, Avengers: Endgame, WandaVision, Avengers: Infinity War, Black Panther, Loki, Captain America: Civil War"
Spider-Man: No Way Home,"Action, Adventure, Fantasy","Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire, Angourie Rice, Arian Moayed, Paula Newsome, Hannibal Buress, Martin Starr","Spider-Man: Far from Home, Avengers: Endgame, Spider-Man: Homecoming, Avengers: Infinity War, Doctor Strange in the Multiverse of Madness, The Batman, Thor: Ragnarok, Spider-Man, Captain America: Civil War, The Avengers, Doctor Strange, Spider-Man 2"
Spider-Man,"Action, Adventure, Sci-Fi","Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. Dodds, Ted Raimi, Bruce Campbell, Elizabeth Banks","Spider-Man 2, Spider-Man 3, The Amazing Spider-Man, The Amazing Spider-Man 2, Spider-Man: Homecoming, Spider-Man: Far from Home, Iron Man, The Avengers, Iron Man 2, Captain America: The First Avenger, Captain America: Civil War, Iron Man Three"
Spider-Man 2,"Action, Adventure, Sci-Fi","Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco, Rosemary Harris, J.K. Simmons, Donna Murphy, Daniel Gillies, Dylan Baker, Bill Nunn, Vanessa Ferlito, Aasif Mandvi, Willem Dafoe, Cliff Robertson, Ted Raimi, Elizabeth Banks, Bruce Campbell, Gregg Edelman","Spider-Man, Spider-Man 3, The Amazing Spider-Man, The Amazing Spider-Man 2, Spider-Man: Homecoming, Spider-Man: Far from Home, Iron Man, Iron Man 2, Iron Man Three, Captain America: The First Avenger, Captain America: Civil War, The Avengers"
